sex,race,age_group,county,crime_class,relinst,days_court,days_newsent,days_tech,days_other,release_year,release_month
Female,White,35-44,Jo Daviess,Drug,Logan,,,,,2025,2025-10-01
Male,Hispanic,45-54,Cook,Drug,Vienna,,,,,2025,2025-11-01
Male,Black,35-44,Cook,Property,Robinson,,,,,2024,2024-08-01
Male,Black,35-44,Champaign,Public Order,Jacksonville,,,,,2024,2024-07-01
Male,White,30-34,Vermilion,Person,Vandalia,,,,,2024,2024-09-01
Female,Black,25-29,Cook,Public Order,Logan,,,,,2020,2020-03-01
Male,Black,30-34,McLean,Drug,Peoria ATC,,,,,2019,2019-09-01
Male,Black,20-24,Macon,Person,Vandalia,,,,,2020,2020-02-01
Male,Black,55-64,Will,Public Order,Vandalia,,,,,2020,2020-03-01
Male,White,25-29,Will,Public Order,Stateville,,,,,2020,2020-03-01
Male,Hispanic,55-64,DuPage,Property,Vandalia,,,,,2019,2019-05-01
Male,Black,35-44,Champaign,Drug,Graham,,,,,2019,2019-03-01
Female,Bi-Racial,20-24,Cook,Person,Logan,,,,,2019,2019-02-01
Male,White,45-54,Adams,Person,Vandalia,,,,,2019,2019-01-01
Male,White,30-34,Will,Property,Vandalia,,,,,2019,2019-06-01
Male,White,30-34,Rock Island,Drug,Shawnee,,,,,2019,2019-03-01
Female,White,45-54,Cook,Drug,Decatur,,,,,2019,2019-02-01
Male,White,55-64,Johnson,Drug,Menard,,,,,2019,2019-05-01
Male,Black,25-29,Cook,Public Order,Danville,,,,,2019,2019-10-01
Male,Black,55-64,Cook,Drug,Stateville,,,,,2018,2018-11-01
Male,Black,45-54,Winnebago,Public Order,Shawnee,,,,,2018,2018-10-01
Male,White,55-64,Pike,Property,Graham,,,,,2018,2018-11-01
Female,White,30-34,McLean,Drug,Fox Valley ATC,,,,,2018,2018-12-01
Male,White,35-44,Marion,Public Order,Vandalia,,,,,2018,2018-07-01
Male,White,55-64,Richland,Person,East Moline,,,,,2018,2018-08-01
Male,Hispanic,20-24,Cook,Property,Lawrence,,,,,2018,2018-09-01
Female,White,35-44,Will,Property,Fox Valley ATC,,,,,2018,2018-03-01
Male,White,35-44,Crawford,Public Order,Peoria ATC,,,,,2018,2018-03-01
Female,Black,20-24,Stephenson,Drug,Logan,,,,,2018,2018-05-01
Male,White,35-44,Lee,Property,Sheridan,,,,,2018,2018-11-01
Male,White,45-54,Madison,Person,Taylorville,,,,,2022,2022-08-01
Male,White,35-44,Monroe,Property,Vandalia,,,790.0,,2023,2023-05-01
Male,Black,55-64,Cook,Public Order,Stateville,1034.0,,,,2022,2022-11-01
Male,White,45-54,Madison,Drug,Sheridan,168.0,,1069.0,,2022,2022-11-01
Male,Hispanic,45-54,Cook,Property,Western Illinois,,,1054.0,,2021,2021-01-01
Male,White,65-74,Cook,Public Order,Pinckneyville,490.0,,635.0,,2021,2021-02-01
Male,Hispanic,35-44,McHenry,Drug,Vandalia,1610.0,,,,2021,2021-04-01
Male,Hispanic,35-44,Cook,Person,Stateville,,,267.0,,2021,2021-03-01
Male,Black,35-44,Peoria,Drug,Western Illinois,,,52.0,,2020,2020-10-01
Male,White,25-29,St. Clair,Drug,Lincoln,1074.0,,1866.0,,2020,2020-03-01
Male,White,25-29,Cook,Public Order,Other,,,165.0,,2025,2025-05-01
Male,Black,55-64,Cook,Person,Stateville,,,123.0,,2025,2025-02-01
Male,Other,20-24,Cook,Person,Other,,,223.0,,2025,2025-04-01
Male,Black,45-54,Macon,Person,Western Illinois,428.0,,,,2024,2024-09-01
Male,White,35-44,Grundy,Public Order,Stateville,,,319.0,,2022,2022-06-01
Male,Black,45-54,Cook,Person,East Moline,,,820.0,,2021,2021-05-01
Male,Hispanic,20-24,Winnebago,Public Order,Sheridan,729.0,,,,2021,2021-05-01
Male,White,35-44,Macon,Person,Robinson,1682.0,,603.0,,2020,2020-08-01
Male,White,20-24,Cook,Property,Pinckneyville,,,41.0,,2025,2025-06-01
Male,Black,45-54,Cook,Drug,Vandalia,504.0,,358.0,,2021,2021-03-01
Female,Black,30-34,Cook,Person,Logan,40.0,,124.0,,2025,2025-05-01
Male,Black,20-24,Cook,Person,Stateville,1377.0,,,,2021,2021-11-01
Male,White,30-34,Cook,Person,Stateville,,,,,2023,2023-03-01
Male,White,35-44,Madison,Drug,Shawnee,,,,,2023,2023-06-01
Male,White,35-44,Marion,Public Order,Graham,,,,,2022,2022-07-01
Male,Hispanic,65-74,Cook,Drug,Vandalia,,,,,2022,2022-01-01
Female,White,45-54,Pike,Drug,Logan,,,,,2022,2022-04-01
Male,Black,45-54,Will,Public Order,Centralia,,,,,2021,2021-11-01
Male,White,45-54,Perry,Person,Illinois River,,,,,2021,2021-12-01
Male,Black,20-24,Winnebago,Person,Kewanee Reentry Center,,,,,2021,2021-12-01
Male,Black,35-44,Cook,Public Order,Discharge,,,,,2021,2021-06-01
Male,Black,30-34,Randolph,Person,Stateville,,,,,2021,2021-06-01
Male,Black,25-29,Champaign,Person,Shawnee,,,,,2020,2020-08-01
Male,Black,35-44,Will,Person,Lincoln,,,,,2020,2020-10-01
Male,White,35-44,Boone,Person,Stateville,,,,,2020,2020-08-01
Female,White,25-29,White,Drug,Logan,,,,,2020,2020-11-01
Male,Hispanic,30-34,Cook,Public Order,Kewanee Reentry Center,,,,,2020,2020-04-01
Male,Black,35-44,Lake,Person,Stateville,,,,,2020,2020-03-01
Male,Black,18-19,Will,Public Order,Vandalia,,,,,2020,2020-04-01
